original_artist_id,related_artist_id,related_artist_name
3HVdAiMNjYrQIKlOGxoGh5,05fG473iIaoy82BF1aGhL8,Slipknot
3HVdAiMNjYrQIKlOGxoGh5,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson
6mdiAmATAx73kdxrNrnlao,2tRsMl4eGxwoNabM08Dm4I,Judas Priest
6mdiAmATAx73kdxrNrnlao,4CYeVo5iZbtYGBN4Isc3n6,Dio
6mdiAmATAx73kdxrNrnlao,1DFr97A9HnbV3SKTJFu62M,Motörhead
6mdiAmATAx73kdxrNrnlao,1Yox196W7bzVNZI7RBaPnf,Megadeth
6mdiAmATAx73kdxrNrnlao,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
2aaLAng2L2aWD2FClzwiep,4MnZkh4dpNmTMPxkl4Ev5L,Symphony X
2aaLAng2L2aWD2FClzwiep,0ybFZ2Ab08V8hueghSXm6E,Opeth
2aaLAng2L2aWD2FClzwiep,4zvIE8a1h7L0IED4r4qKk1,John Petrucci
2aaLAng2L2aWD2FClzwiep,32Jb1X3wSmmoHj2epZReZA,Steve Vai
2aaLAng2L2aWD2FClzwiep,0r1s1XoxdoXECGfyChzb2v,Liquid Tension Experiment
4pQN0GB0fNEEOfQCaWotsY,3JDIAtVrJdQ7GFOX26LYpv,Accept
4pQN0GB0fNEEOfQCaWotsY,4CzUzn54Cp9TQr6a7JIlMZ,Manowar
4pQN0GB0fNEEOfQCaWotsY,1O8CSXsPwEqxcoBE360PPO,Stratovarius
4pQN0GB0fNEEOfQCaWotsY,2o18h28enlHxj887tATc58,HammerFall
4pQN0GB0fNEEOfQCaWotsY,3BVkDHWRvLJEyKdvhLbjsq,W.A.S.P.
2tRsMl4eGxwoNabM08Dm4I,4CYeVo5iZbtYGBN4Isc3n6,Dio
2tRsMl4eGxwoNabM08Dm4I,6mdiAmATAx73kdxrNrnlao,Iron Maiden
2tRsMl4eGxwoNabM08Dm4I,1DFr97A9HnbV3SKTJFu62M,Motörhead
2tRsMl4eGxwoNabM08Dm4I,1Yox196W7bzVNZI7RBaPnf,Megadeth
2tRsMl4eGxwoNabM08Dm4I,3JDIAtVrJdQ7GFOX26LYpv,Accept
5M52tdBnJaKSvOpJGz8mfZ,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
5M52tdBnJaKSvOpJGz8mfZ,2ye2Wgw4gimLv2eAKyk1NB,Metallica
5M52tdBnJaKSvOpJGz8mfZ,6mdiAmATAx73kdxrNrnlao,Iron Maiden
5M52tdBnJaKSvOpJGz8mfZ,36QJpDe2go2KgaRleHCDTp,Led Zeppelin
5M52tdBnJaKSvOpJGz8mfZ,1DFr97A9HnbV3SKTJFu62M,Motörhead
2ye2Wgw4gimLv2eAKyk1NB,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
2ye2Wgw4gimLv2eAKyk1NB,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
2ye2Wgw4gimLv2eAKyk1NB,6mdiAmATAx73kdxrNrnlao,Iron Maiden
2ye2Wgw4gimLv2eAKyk1NB,5eAWCfyUhZtHHtBdNk56l1,System Of A Down
2ye2Wgw4gimLv2eAKyk1NB,14pVkFUHDL207LzLHtSA18,Pantera
4CYeVo5iZbtYGBN4Isc3n6,2tRsMl4eGxwoNabM08Dm4I,Judas Priest
4CYeVo5iZbtYGBN4Isc3n6,6mdiAmATAx73kdxrNrnlao,Iron Maiden
4CYeVo5iZbtYGBN4Isc3n6,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
4CYeVo5iZbtYGBN4Isc3n6,1DFr97A9HnbV3SKTJFu62M,Motörhead
4CYeVo5iZbtYGBN4Isc3n6,4opTS86dN9uO313J9CE8xg,Skid Row
568ZhdwyaiCyOGJRtNYhWf,6SLAMfhOi7UJI0fMztaK0m,Rainbow
568ZhdwyaiCyOGJRtNYhWf,2cnMpRsOVqtPMfq7YiFE6K,Van Halen
568ZhdwyaiCyOGJRtNYhWf,36QJpDe2go2KgaRleHCDTp,Led Zeppelin
568ZhdwyaiCyOGJRtNYhWf,3EhbVgyfGd7HkpsagwL9GS,Alice Cooper
568ZhdwyaiCyOGJRtNYhWf,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top
1IQ2e1buppatiN1bxUVkrk,28hJdGN1Awf7u3ifk2lVkg,Testament
1IQ2e1buppatiN1bxUVkrk,14pVkFUHDL207LzLHtSA18,Pantera
1IQ2e1buppatiN1bxUVkrk,1Yox196W7bzVNZI7RBaPnf,Megadeth
1IQ2e1buppatiN1bxUVkrk,6JW8wliOEwaDZ231ZY7cf4,Sepultura
1IQ2e1buppatiN1bxUVkrk,3JysSUOyfVs1UQ0UaESheP,Anthrax
2ye2Wgw4gimLv2eAKyk1NB,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne
2ye2Wgw4gimLv2eAKyk1NB,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath
2ye2Wgw4gimLv2eAKyk1NB,6mdiAmATAx73kdxrNrnlao,Iron Maiden
