,artist_id,artist_name,track_name,track_popularity,track_uri,track_number
107,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,Behind Blue Eyes,73,spotify:track:1MTQHCpraD4S8g5PAFKzoj,3
108,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,Take A Look Around,73,spotify:track:2avKuMN2QXkaG9vvHa2JLt,4
109,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,My Way,73,spotify:track:2gSVKxPDww9Eep5rdvtdem,5
110,6olE6TJLqED3rqDCT0FyPh,Nirvana,Smells Like Teen Spirit,80,spotify:track:4CeeEOM32jQcH3eN9Q2dGj,1
111,6olE6TJLqED3rqDCT0FyPh,Nirvana,Come As You Are,78,spotify:track:2RsAajgo0g7bMCHxwH3Sk0,2
112,6olE6TJLqED3rqDCT0FyPh,Nirvana,Heart-Shaped Box,79,spotify:track:11LmqTE2naFULdEP94AUBa,3
113,6olE6TJLqED3rqDCT0FyPh,Nirvana,About A Girl,77,spotify:track:2SHTKB8YYlawTGIuJ2b2ok,4
114,6olE6TJLqED3rqDCT0FyPh,Nirvana,Lithium,71,spotify:track:5vHLwhxxlGzmClMcxRRFPr,5
115,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,The Emptiness Machine,90,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,1
116,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,In the End,87,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,2
117,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,Numb,87,spotify:track:2nLtzopw4rPReszdYBJU6h,3
118,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,Heavy Is the Crown,87,spotify:track:3fgehc497TFqKH1zBL2YNK,4
119,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,Faint,84,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,5
120,4RddZ3iHvSpGV4dvATac9X,Papa Roach,Last Resort,80,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,1
121,4RddZ3iHvSpGV4dvATac9X,Papa Roach,Scars,62,spotify:track:3TAtUJc4Sj913Cs5gBUeu0,2
122,4RddZ3iHvSpGV4dvATac9X,Papa Roach,Help,68,spotify:track:0IbiFpXPFpvCAIs9WMX5wC,3
123,4RddZ3iHvSpGV4dvATac9X,Papa Roach,Getting Away With Murder,58,spotify:track:40dHZ1HyySmu9FmTINRbqM,4
124,4RddZ3iHvSpGV4dvATac9X,Papa Roach,Between Angels And Insects,65,spotify:track:24z528iI9kZu5LbkLainjI,5
125,5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,Wrong Side of Heaven,65,spotify:track:11Ojp7JniVvwd0gmgvyKkd,1
126,5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,Bad Company,61,spotify:track:1UWGkn34CD31VQfdi4D8Zp,2
127,5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,Jekyll and Hyde,62,spotify:track:6efSwlK3LOlWOeKK9xlUKF,3
128,5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,A Little Bit Off,67,spotify:track:6GqqGv8frU7kqzXkm2rewI,4
129,5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,Wash It All Away,61,spotify:track:5nRBTzF9dLIlNqnl0xWo9g,5
130,6deZN1bslXzeGvOLaLMOIF,Nickelback,How You Remind Me,83,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,1
131,6deZN1bslXzeGvOLaLMOIF,Nickelback,Rockstar - 2020 Remaster,71,spotify:track:05tlUh0E6IFks9sCQguQKN,2
132,6deZN1bslXzeGvOLaLMOIF,Nickelback,Burn It to the Ground,74,spotify:track:1jq28NGw6wdtFKx8MBPy6C,3
133,6deZN1bslXzeGvOLaLMOIF,Nickelback,Far Away - 2020 Remaster,69,spotify:track:05rWggLwQ2weA4D2cRAt55,4
134,6deZN1bslXzeGvOLaLMOIF,Nickelback,Animals - 2020 Remaster,70,spotify:track:2TeEhtmhMQmUyQJhnJNvAs,5
135,3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,Dragula,77,spotify:track:6Nm8h73ycDG2saCnZV8poF,1
136,3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,Living Dead Girl,71,spotify:track:10V8XpuyMoEcSMfM79WDET,2
137,3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,Superbeast,65,spotify:track:4eNnMvUrSu2TRpySjVC0Pv,3
138,3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,Feel So Numb,62,spotify:track:6KnNDix4Owr4vNmsPhLmxD,4
139,3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,Demon Speeding,58,spotify:track:605hJIiMrdsUjr4Vx4BFD6,5
140,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool,Bodies,75,spotify:track:7CpbhqKUedOIrcvc94p60Y,1
141,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool,Tear Away,63,spotify:track:3ENHpbTuY72FukZbwGP6bc,2
142,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool,Sinner,59,spotify:track:4AaZtoVREGSOTMzdzLoCGK,3
143,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool,One Finger and a Fist,55,spotify:track:5sSrK9FXfWbL5qwbMASHeb,4
144,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool,Step Up,52,spotify:track:4Q1w4Ryyi8KNxxaFlOQClK,5
145,0CF71zaDOJWCynIkW9bSK8,White Zombie,Thunder Kiss '65,63,spotify:track:4tvBoSWeIW0bjhKNre5mod,1
146,0CF71zaDOJWCynIkW9bSK8,White Zombie,More Human Than Human,58,spotify:track:1NbJFhkVdD47YZ2IojKkJi,2
147,0CF71zaDOJWCynIkW9bSK8,White Zombie,Super Charger Heaven,53,spotify:track:4qVZBA7jWL23SEWOfKFjiw,3
148,0CF71zaDOJWCynIkW9bSK8,White Zombie,Black Sunshine,50,spotify:track:0D7aPFnFa9qIVFpOJ1ZBTG,4
149,0CF71zaDOJWCynIkW9bSK8,White Zombie,Welcome To Planet Motherfucker/ Psychoholic Slag,48,spotify:track:5x8YLkZvKQDmZsD4cnCO06,5
150,3JDIAtVrJdQ7GFOX26LYpv,Accept,Balls to the Wall,47,spotify:track:28sMmBCmfHoy6NjZnovEYG,1
151,3JDIAtVrJdQ7GFOX26LYpv,Accept,Teutonic Terror,51,spotify:track:3crIa21lfjekujCQuGjlJT,2
152,3JDIAtVrJdQ7GFOX26LYpv,Accept,Life's a Bitch,51,spotify:track:1KyA5lXW7cAgMLwxRdVAu3,3
153,3JDIAtVrJdQ7GFOX26LYpv,Accept,Koolaid,49,spotify:track:249XHhBxBOblTCYStaC27L,4
154,3JDIAtVrJdQ7GFOX26LYpv,Accept,Princess Of The Dawn,42,spotify:track:3PtaFRuHFIlF6ZcMVE4lF8,5
155,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,Tears Don't Fall,55,spotify:track:7ln7o4q6y9h8qEc6hGrtr1,1
156,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,Your Betrayal,65,spotify:track:25GC50HslaaruyrKjdu0lP,2
157,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,All These Things I Hate (Revolve Around Me),47,spotify:track:4n0h6Qqf4TKeb2Bw1qC8PY,3
158,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,Hand Of Blood,48,spotify:track:1EJzHoU6rg1afMozs9t6aM,4
159,7iWiAD5LLKyiox2grgfmUT,Bullet For My Valentine,Waking the Demon,48,spotify:track:0k6wiMT26Wc3K4B2IiloUw,5
160,5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,The Diary of Jane - Single Version,74,spotify:track:0faXHILILebCGnJBPU6KJJ,1
161,5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,Awaken,71,spotify:track:7hr0WyhqQxrK3SQ9ZQxjTu,2
162,5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,Breath,68,spotify:track:4JXfNOePhdgMOI7KZ1L25U,3
163,5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,I Will Not Bow,69,spotify:track:2yXyz4NLTZx9CLdXfLTp5E,4
164,5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin,Dance With The Devil,66,spotify:track:10ASBwZsp7oUUDsJEYz3uS,5
165,65A714FqhSPjoFZeffQbTv,Lindemann,Steh auf,55,spotify:track:2cwwUYTPOEfz0pam6tiVZz,1
166,65A714FqhSPjoFZeffQbTv,Lindemann,Platz Eins,53,spotify:track:4kF5GADt85FeD8Y26RRyLY,2
167,65A714FqhSPjoFZeffQbTv,Lindemann,Knebel,52,spotify:track:1C1MRQAQSuYWXJKziMZWoR,3
168,65A714FqhSPjoFZeffQbTv,Lindemann,Ich weiß es nicht,51,spotify:track:22NDkUPSCwVbC3qtTV5JdA,4
169,65A714FqhSPjoFZeffQbTv,Lindemann,Praise Abort,50,spotify:track:1IHCEJ8tsYLYy7n65C0CVe,5
170,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,The Beautiful People,72,spotify:track:2aIB1CdRRG7YLBu9hNw9nR,1
171,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,Sweet Dreams (Are Made Of This),69,spotify:track:2302lUwfZ4S4dVyPOCDFnQ,2
172,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,Tainted Love,60,spotify:track:0ZeKQudydO2uQJpfr6gNC8,3
173,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,This Is The New Shit,60,spotify:track:5P13mfqn9o3ToFPTxowEgO,4
174,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,The Fight Song,62,spotify:track:6pfdW2NouUI3ZnugM7r0G0,5
175,4f5V3PQ66nIrBCqugJtaGn,Death,Voice of the Soul,55,spotify:track:69Yia3qCLw6N9U80WhLwLn,1
176,4f5V3PQ66nIrBCqugJtaGn,Death,Symbolic,50,spotify:track:0dpFb4qv92TE9R00Lq4SAW,2
177,4f5V3PQ66nIrBCqugJtaGn,Death,Crystal Mountain,50,spotify:track:0ItAcLSkUiePOmFGun3cSe,3
178,4f5V3PQ66nIrBCqugJtaGn,Death,Pull the Plug,51,spotify:track:2l0h4aBFLp9HdoaNdCTlbW,4
179,4f5V3PQ66nIrBCqugJtaGn,Death,Spirit Crusher,50,spotify:track:3sSonVXqDeoEFj2lM7mpYT,5
180,76S65NHJHrNy4JTrXHP2BH,Exodus,Blacklist,54,spotify:track:3iUJrkMilUVkUKtYZK7Th4,1
181,76S65NHJHrNy4JTrXHP2BH,Exodus,The Toxic Waltz,48,spotify:track:5ZOOjqoCaUydmo8bxSdosj,2
182,76S65NHJHrNy4JTrXHP2BH,Exodus,War Is My Shepherd,45,spotify:track:0ZvhRWvON9PFhIKwtZWDNB,3
183,76S65NHJHrNy4JTrXHP2BH,Exodus,The Beatings Will Continue (Until Morale Improves),44,spotify:track:2gjsFjDTVacpoZPfGYaddw,4
184,76S65NHJHrNy4JTrXHP2BH,Exodus,Bonded by Blood,43,spotify:track:2riiohLaKgMFlu4RQT1MPV,5
185,5imUS9dQyCbAjUEJJ9QyWC,Powerman 5000,When Worlds Collide,64,spotify:track:6aF5JtQSrh7wNrkDE9B0My,1
186,5imUS9dQyCbAjUEJJ9QyWC,Powerman 5000,Bombshell,52,spotify:track:2yY4ojg6wfEFBGVZoJuXqK,2
187,5imUS9dQyCbAjUEJJ9QyWC,Powerman 5000,Supernova Goes Pop,46,spotify:track:7rAEUdstP2ZU8MOPGbHug6,3
188,5imUS9dQyCbAjUEJJ9QyWC,Powerman 5000,Free,45,spotify:track:6G3waRixEIXegXfbRTaIqJ,4
189,5imUS9dQyCbAjUEJJ9QyWC,Powerman 5000,Nobody's Real,44,spotify:track:2VGf3YQ6Zfzb6YyDatYAcY,5
190,4MnZkh4dpNmTMPxkl4Ev5L,Symphony X,Without You,42,spotify:track:2YhaTZVlX8lgUTJQmPyTY5,1
191,4MnZkh4dpNmTMPxkl4Ev5L,Symphony X,Sea of Lies,38,spotify:track:4wGBhMe3RFJt1wIxtQYIBo,2
192,4MnZkh4dpNmTMPxkl4Ev5L,Symphony X,Paradise Lost,38,spotify:track:22sEfJxatkWlGVsqWKhtvY,3
