,artist_id,artist_name,track_name,track_popularity,track_uri,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Cluster
36,6mdiAmATAx73kdxrNrnlao,Iron Maiden,Run to the Hills - 2015 Remaster,69,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,2,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,audio_features,4Zc7TCHzuNwL0AFBlyLdyr,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/tracks/4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/audio-analysis/4Zc7TCHzuNwL0AFBlyLdyr,233507,4,3
37,6mdiAmATAx73kdxrNrnlao,Iron Maiden,Fear of the Dark - 2015 Remaster,69,spotify:track:6p8eFfPw3nQkf37aT3AkmK,3,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,audio_features,6p8eFfPw3nQkf37aT3AkmK,spotify:track:6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/tracks/6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/audio-analysis/6p8eFfPw3nQkf37aT3AkmK,438120,4,0
38,6mdiAmATAx73kdxrNrnlao,Iron Maiden,The Number of the Beast - 2015 Remaster,66,spotify:track:3nlGByvetDcS1uomAoiBmy,4,0.409,0.89,0,-6.839,1,0.0558,0.088,0.107,0.0935,0.268,100.409,audio_features,3nlGByvetDcS1uomAoiBmy,spotify:track:3nlGByvetDcS1uomAoiBmy,https://api.spotify.com/v1/tracks/3nlGByvetDcS1uomAoiBmy,https://api.spotify.com/v1/audio-analysis/3nlGByvetDcS1uomAoiBmy,290587,4,0
39,6mdiAmATAx73kdxrNrnlao,Iron Maiden,Hallowed Be Thy Name - 2015 Remaster,64,spotify:track:469rBLYJUZHMJLtq2Wch3h,5,0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,0.3,103.981,audio_features,469rBLYJUZHMJLtq2Wch3h,spotify:track:469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/tracks/469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/audio-analysis/469rBLYJUZHMJLtq2Wch3h,431093,4,0
40,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Stairway to Heaven - Remaster,76,spotify:track:5CQ30WqJwcep0pYcV4AMNc,1,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4,8
41,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Immigrant Song - Remaster,75,spotify:track:78lgmZwycJ3nzsdgmPPGNx,2,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,audio_features,78lgmZwycJ3nzsdgmPPGNx,spotify:track:78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx,146250,4,6
42,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Whole Lotta Love - 1990 Remaster,72,spotify:track:0hCB0YR03f6AmQaHbwWDe8,3,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,audio_features,0hCB0YR03f6AmQaHbwWDe8,spotify:track:0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/audio-analysis/0hCB0YR03f6AmQaHbwWDe8,333893,4,4
43,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Black Dog - Remaster,69,spotify:track:3qT4bUD1MaWpGrTwcvguhb,4,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,audio_features,3qT4bUD1MaWpGrTwcvguhb,spotify:track:3qT4bUD1MaWpGrTwcvguhb,https://api.spotify.com/v1/tracks/3qT4bUD1MaWpGrTwcvguhb,https://api.spotify.com/v1/audio-analysis/3qT4bUD1MaWpGrTwcvguhb,295387,4,1
44,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,Going to California - Remaster,68,spotify:track:70gbuMqwNBE2Y5rkQJE9By,5,0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,audio_features,70gbuMqwNBE2Y5rkQJE9By,spotify:track:70gbuMqwNBE2Y5rkQJE9By,https://api.spotify.com/v1/tracks/70gbuMqwNBE2Y5rkQJE9By,https://api.spotify.com/v1/audio-analysis/70gbuMqwNBE2Y5rkQJE9By,212161,4,8
45,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Kickstart My Heart,76,spotify:track:4Yqy0GpeDEXLibWJCZyQew,1,0.363,0.982,7,-3.621,0,0.3,0.00123,0.00218,0.284,0.275,179.23,audio_features,4Yqy0GpeDEXLibWJCZyQew,spotify:track:4Yqy0GpeDEXLibWJCZyQew,https://api.spotify.com/v1/tracks/4Yqy0GpeDEXLibWJCZyQew,https://api.spotify.com/v1/audio-analysis/4Yqy0GpeDEXLibWJCZyQew,282653,4,9
