track_name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Laid to Rest,Lamb of God,3JFsVIxOn7STeilPICkkB2,0.359,0.959,1,-3.685,1,0.104,0.000216,0.00343,0.435,0.158,103.038,audio_features,0lCwaZYSRy6q0jLmnYiQxi,spotify:track:0lCwaZYSRy6q0jLmnYiQxi,https://api.spotify.com/v1/tracks/0lCwaZYSRy6q0jLmnYiQxi,https://api.spotify.com/v1/audio-analysis/0lCwaZYSRy6q0jLmnYiQxi,230227,3
Return to Serenity,Testament,28hJdGN1Awf7u3ifk2lVkg,0.294,0.613,1,-10.527,1,0.0384,0.235,0.000494,0.139,0.228,112.385,audio_features,5awljpWNO5TpXCyjpvCBbs,spotify:track:5awljpWNO5TpXCyjpvCBbs,https://api.spotify.com/v1/tracks/5awljpWNO5TpXCyjpvCBbs,https://api.spotify.com/v1/audio-analysis/5awljpWNO5TpXCyjpvCBbs,390800,3
Davidian,Machine Head,0lVlNsuGaOr9vMHCZIAKMt,0.278,0.937,7,-6.952,1,0.168,0.000535,0.118,0.227,0.29,154.244,audio_features,3qHlBxD3acw5nrl7Padt0v,spotify:track:3qHlBxD3acw5nrl7Padt0v,https://api.spotify.com/v1/tracks/3qHlBxD3acw5nrl7Padt0v,https://api.spotify.com/v1/audio-analysis/3qHlBxD3acw5nrl7Padt0v,296627,3
Arise,Sepultura,6JW8wliOEwaDZ231ZY7cf4,0.372,0.961,9,-6.765,0,0.0931,1.52e-05,0.0548,0.0916,0.159,115.336,audio_features,1erRDf98WX0VllciGPYO1H,spotify:track:1erRDf98WX0VllciGPYO1H,https://api.spotify.com/v1/tracks/1erRDf98WX0VllciGPYO1H,https://api.spotify.com/v1/audio-analysis/1erRDf98WX0VllciGPYO1H,198227,4
Under and Over It,Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,0.468,0.996,11,-3.027,0,0.179,1.41e-05,0.0,0.26,0.094,75.978,audio_features,3CBoWhq9cd7WGQZ9EDQVnn,spotify:track:3CBoWhq9cd7WGQZ9EDQVnn,https://api.spotify.com/v1/tracks/3CBoWhq9cd7WGQZ9EDQVnn,https://api.spotify.com/v1/audio-analysis/3CBoWhq9cd7WGQZ9EDQVnn,218133,4
Got The Time,Anthrax,3JysSUOyfVs1UQ0UaESheP,0.371,0.973,10,-5.303,0,0.135,0.000641,0.00163,0.0423,0.444,127.721,audio_features,3cFnb3Rg9a7Gzqxc5QQ9YZ,spotify:track:3cFnb3Rg9a7Gzqxc5QQ9YZ,https://api.spotify.com/v1/tracks/3cFnb3Rg9a7Gzqxc5QQ9YZ,https://api.spotify.com/v1/audio-analysis/3cFnb3Rg9a7Gzqxc5QQ9YZ,164333,4
Hunting High and Low,Stratovarius,1O8CSXsPwEqxcoBE360PPO,0.505,0.978,6,-3.166,0,0.11,0.000163,0.266,0.346,0.385,93.793,audio_features,1vDJE9fE7FB8proknu3u8E,spotify:track:1vDJE9fE7FB8proknu3u8E,https://api.spotify.com/v1/tracks/1vDJE9fE7FB8proknu3u8E,https://api.spotify.com/v1/audio-analysis/1vDJE9fE7FB8proknu3u8E,248867,4
Let It Go,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,0.409,0.915,2,-7.205,1,0.0667,0.00444,0.0022,0.342,0.409,138.143,audio_features,1aR6W01r094onPc4O2avEp,spotify:track:1aR6W01r094onPc4O2avEp,https://api.spotify.com/v1/tracks/1aR6W01r094onPc4O2avEp,https://api.spotify.com/v1/audio-analysis/1aR6W01r094onPc4O2avEp,283186,4
I Wanna Rock,Twisted Sister,7b85ve82Sh36a3UAx74wut,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,audio_features,70Z9t1qhytWtG4cCmmi7mU,spotify:track:70Z9t1qhytWtG4cCmmi7mU,https://api.spotify.com/v1/tracks/70Z9t1qhytWtG4cCmmi7mU,https://api.spotify.com/v1/audio-analysis/70Z9t1qhytWtG4cCmmi7mU,179760,4
Cum on Feel the Noize,Quiet Riot,1dLWg6m8RRhizsdqJbhyj3,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,audio_features,3vV3cr2TpPqFk07zxYUbla,spotify:track:3vV3cr2TpPqFk07zxYUbla,https://api.spotify.com/v1/tracks/3vV3cr2TpPqFk07zxYUbla,https://api.spotify.com/v1/audio-analysis/3vV3cr2TpPqFk07zxYUbla,290960,4
